id,date,y,x1,x2,x3,x4,x5,x6,x7,x8,x9
34,10/1/2009,1595,27.67,25.9419,25418,14.53,1993,73.75,65.12,10504670,6840724
35,11/1/2009,1577,28.36,26.703,25418,14.48,1994,78.83,65.03,10506140,6832380
36,12/1/2009,1366,28.35,26.7339,25418,14.29,1995,84.82,64.89,10506750,6817819
37,1/1/2010,981,30.36,28.8174,22738,14.55,1996,75.95,64.67,10507020,6795145
38,2/1/2010,1235,30.64,28.9736,22738,14.66,1997,74.76,64.29,10507730,6755389
39,3/1/2010,1877,31.44,29.5894,22738,14.73,1998,75.58,64.22,10509150,6749392
40,4/1/2010,1886,32.11,30.5917,23504,14.42,1999,77.04,64.82,10511060,6813684
41,5/1/2010,2126,32.18,30.9061,23504,14.37,2000,77.84,64.93,10513210,6826331
42,6/1/2010,2041,32.40,31.3347,23504,14.44,2001,82.67,65.02,10515810,6837260
43,7/1/2010,1816,31.90,30.87,23600,14.44,2002,85.28,65.24,10518650,6862319
44,8/1/2010,1906,31.33,30.3932,23600,14.67,2003,91.45,65.19,10521500,6858963
45,9/1/2010,1886,31.22,30.334,23600,14.66,2004,96.52,65.25,10525210,6867711
46,10/1/2010,1646,31.25,30.3913,25591,14.52,2005,103.72,65.24,10528620,6868838
47,11/1/2010,1827,32.23,31.41,25591,14.66,2006,114.64,65.27,10530850,6873418
48,12/1/2010,1330,33.20,32.4452,25591,14.05,2007,123.26,65.39,10532350,6886759
49,1/1/2011,1410,33.11,32.5235,23372,14.31,2008,114.99,65.3,10487310,6848493
50,2/1/2011,1610,33.95,33.5036,23372,14.51,2009,113.83,65.34,10488570,6853444
51,3/1/2011,2205,34.64,34.2084,23372,14.24,2010,116.97,65.29,10490040,6849283
52,4/1/2011,1973,35.10,34.354,24116,13.94,2011,110.22,65.61,10491370,6882918
53,5/1/2011,2255,34.82,34.039,24116,13.83,2012,112.83,65.76,10492800,6900338
54,6/1/2011,2263,34.69,34.0243,24116,13.77,2013,109.55,65.9,10495180,6916612
55,7/1/2011,1886,34.75,34.1313,24107,13.7,2014,110.77,66.03,10497880,6931457
56,8/1/2011,2201,34.66,34.0345,24107,13.76,2015,107.87,65.99,10500190,6929330
57,9/1/2011,2016,34.79,34.4723,24107,13.79,2016,110.69,65.88,10503020,6919239
58,10/1/2011,2214,34.80,35.221,26211,13.98,2017,119.33,65.88,10505330,6920618
59,11/1/2011,1898,34.74,35.5183,26211,13.86,2018,125.45,65.87,10506030,6920799
60,12/1/2011,1567,35.54,36.169,26211,13.58,2019,119.75,65.86,10505800,6919377
61,1/1/2012,1547,36.04,36.5816,24131,14.02,2020,110.34,65.89,10505550,6921789
62,2/1/2012,1815,36.89,36.7855,24131,14.21,2021,95.16,65.8,10505950,6912509
63,3/1/2012,2103,37.69,36.7684,24131,14,2022,102.62,66.01,10506910,6936089
64,4/1/2012,2117,37.13,36.3263,24627,14.22,2023,113.36,66.32,10507680,6968640
65,5/1/2012,2238,36.11,35.3719,24627,14.14,2024,112.86,66.52,10508190,6990118
66,6/1/2012,2294,36.19,35.53,24627,14.09,2025,111.71,66.54,10508940,6992909
67,7/1/2012,418,37.61,36.7606,24439,14.45,2026,109.06,66.83,10511100,7024553
68,8/1/2012,519,38.19,37.0481,24439,14.53,2027,109.49,66.84,10513880,7027100
69,9/1/2012,4824,37.34,36.7647,24439,14.14,2028,112.96,66.95,10515600,7040378
70,10/1/2012,2258,35.69,36.1581,27055,14.06,2029,116.05,66.98,10517120,7043899
71,11/1/2012,1922,35.15,35.6043,27055,14.69,2030,108.47,66.85,10517930,7031396
72,12/1/2012,1289,35.73,35.7687,27055,14.59,2031,102.25,66.89,10517050,7034405
73,1/1/2013,1738,36.63,36.1358,23985,14.66,2032,102.56,67.08,10515480,7053679
74,2/1/2013,1718,36.38,35.8679,23985,15.11,2033,102.92,67.09,10514040,7053889
75,3/1/2013,2032,35.62,35.0823,23985,14.89,2034,107.93,67.17,10512450,7061501
76,4/1/2013,2272,35.87,35.316,24877,14.63,2035,111.28,67.6,10510850,7105267
77,5/1/2013,2472,36.24,35.7526,24877,14.51,2036,111.6,67.93,10510250,7140137
78,6/1/2013,2210,36.87,36.262,24877,14,2037,109.08,67.89,10510590,7135810
79,7/1/2013,2376,36.87,36.3048,24735,14.1,2038,107.79,67.98,10511190,7145496
80,8/1/2013,2094,36.35,36.1126,24735,14.05,2039,110.76,67.82,10512120,7129769
81,9/1/2013,2156,35.50,35.6147,24735,14.02,2040,108.12,67.85,10513190,7133182
82,10/1/2013,2393,36.00,36.0726,26525,14.13,2041,108.9,68.09,10514010,7158645
83,11/1/2013,2057,36.16,36.2917,26525,14.39,2042,107.48,68.07,10514060,7156744
84,12/1/2013,1505,36.11,36.1968,26525,14.05,2043,107.76,68.01,10513160,7150093
85,1/1/2014,1746,35.97,36.0687,24931,14.06,2044,109.54,68.28,10514090,7179470
86,2/1/2014,1782,35.73,35.7914,24931,14.18,2045,111.8,68.38,10516850,7191659
87,3/1/2014,2036,36.14,35.8858,24931,14.26,2046,106.77,68.42,10518620,7196407
88,4/1/2014,2066,36.28,35.9687,25569,14.5,2047,101.61,68.73,10520070,7230707
89,5/1/2014,2017,36.88,36.3719,25569,14.22,2048,97.09,68.81,10521550,7239614
90,6/1/2014,2230,36.84,36.225,25569,14.07,2049,87.43,68.95,10523530,7255960
91,7/1/2014,2401,36.78,36.2294,25279,14.15,2050,79.44,69.2,10525900,7284354
92,8/1/2014,2081,36.73,36.1442,25279,14.01,2051,62.34,69.28,10527750,7293428
93,9/1/2014,2174,35.92,35.4807,25279,13.79,2052,47.76,69.43,10530680,7311892
94,10/1/2014,2323,34.37,34.2287,27261,13.81,2053,58.1,69.76,10534360,7348680
95,11/1/2014,1926,31.36,31.5237,27261,14.07,2054,55.89,69.59,10536940,7333090
96,12/1/2014,1735,29.70,29.8261,27261,14.01,2055,59.52,69.55,10538150,7329688
97,1/1/2015,2100,31.01,31.1455,25497,13.27,2056,64.08,69.65,10538240,7339613
98,2/1/2015,2254,31.67,31.5243,25497,13.23,2057,61.48,69.63,10537730,7337072
99,3/1/2015,2627,32.50,32.1668,25497,13.1,2058,56.56,69.8,10537550,7355052
100,4/1/2015,2592,32.86,32.3537,26408,12.89,2059,46.52,70.29,10538280,7407645
101,5/1/2015,2470,33.05,32.0581,26408,12.58,2060,47.62,70.35,10539430,7414002
102,6/1/2015,2563,32.86,30.9153,26408,12.56,2061,48.43,70.42,10541540,7423694
103,7/1/2015,2944,31.74,29.7823,26163,12.58,2062,44.27,70.67,10543650,7451131
104,8/1/2015,2558,30.61,29.3777,26163,12.61,2063,38.01,70.5,10544940,7434548
105,9/1/2015,2740,29.66,28.9327,26163,12.11,2064,30.7,70.47,10546870,7432638
106,10/1/2015,2677,29.09,28.3261,28258,12.22,2065,32.18,70.63,10549310,7450940
107,11/1/2015,2635,27.99,26.5313,28258,12.04,2066,38.21,70.77,10551370,7467208
108,12/1/2015,2324,27.00,25.1784,28258,11.69,2067,41.58,70.72,10553090,7462698
109,1/1/2016,2258,26.71,25.3048,26683,11.75,2068,46.74,71,10554530,7493381
110,2/1/2016,2683,27.76,25.9759,26683,11.44,2069,48.25,71.48,10555900,7545494
111,3/1/2016,2833,28.66,26.7968,26683,11.03,2070,44.95,71.61,10557440,7559956
112,4/1/2016,2936,29.78,28.1277,27452,10.95,2071,45.84,71.89,10559140,7590529
113,5/1/2016,3067,29.75,28.2226,27452,10.72,2072,46.57,72,10561230,7604122
114,6/1/2016,3112,29.13,27.6387,27452,10.68,2073,49.52,71.77,10563890,7581450
115,7/1/2016,2617,29.22,27.77,27396,10.8,2074,44.73,72.14,10566550,7622474
116,8/1/2016,3170,29.49,28.1648,27396,10.62,2075,53.31,72.14,10569240,7625158
117,9/1/2016,2934,29.65,28.5267,27396,10.47,2076,54.58,72.3,10572330,7643758
118,10/1/2016,2971,30.12,29.26,29491,10.4,2077,54.87,72.54,10575300,7670967
119,11/1/2016,2995,31.03,30.312,29491,10.17,2078,51.59,72.96,10577720,7717412
120,12/1/2016,2395,31.24,30.491,29491,10.08,2079,52.31,72.97,10578830,7719679
121,1/1/2017,2299,31.15,30.3839,27880,10.33,2080,50.33,73.14,10578150,7737298
122,2/1/2017,2634,31.06,30.1757,27880,9.65,2081,46.37,73.3,10577490,7753307
123,3/1/2017,3166,30.76,29.8155,27880,9.42,2082,48.48,73.28,10578630,7752382
124,4/1/2017,2716,30.26,29.1793,29335,9.27,2083,51.7,73.44,10580900,7770274
125,5/1/2017,3317,29.65,28.519,29335,9.38,2084,56.15,73.51,10583830,7780573
126,6/1/2017,3448,29.61,28.4917,29335,9.32,2085,57.51,73.46,10587570,7777928
127,7/1/2017,2807,30.04,28.7361,29058,9.46,2086,62.71,73.82,10591290,7818521
128,8/1/2017,3218,30.21,29.1716,29058,9.42,2087,64.37,74.24,10595050,7866152
129,9/1/2017,2931,30.59,29.649,29058,9.29,2088,69.08,74.17,10598800,7861071
130,10/1/2017,3518,30.68,29.7739,31661,9.01,2089,65.32,74.19,10602610,7866435
131,11/1/2017,3249,30.73,29.8857,31661,8.73,2090,66.02,74.32,10606540,7882454
132,12/1/2017,2440,30.85,29.9529,31661,8.7,2091,72.11,74.42,10609230,7895378
133,1/1/2018,2962,30.60,29.6874,30284,8.85,2092,76.98,74.38,10611320,7892291
134,2/1/2018,2907,30.94,29.9839,30284,8.74,2093,74.41,74.76,10612870,7934056
135,3/1/2018,3174,32.08,31.1758,30284,8.47,2094,74.25,74.79,10613250,7937263
136,4/1/2018,3215,33.38,32.5287,31876,8.57,2095,72.53,74.89,10614890,7949356
137,5/1/2018,3443,33.32,32.4961,31876,8.49,2096,78.89,74.93,10618580,7956432
138,6/1/2018,3284,33.32,32.46,31876,8.55,2097,81.03,74.89,10623580,7956069
139,7/1/2018,2983,33.51,32.6581,31516,8.72,2098,64.75,74.79,10628350,7948477
140,8/1/2018,3033,33.75,33.4671,31516,8.47,2099,57.36,75.08,10632530,7983268
141,9/1/2018,2866,33.45,33.668,31516,8.53,2100,57.36,75.06,10637230,7984325
142,10/1/2018,3512,32.26,32.783,33840,8.44,2101,57.36,75.09,10642540,7991529
143,11/1/2018,3010,33.47,33.68,33840,8.56,2102,57.36,75.42,10647340,8030338
144,12/1/2018,2105,32.28,32.8,33840,8.63,2103,57.36,75.36,10649530,8026016
